,Date,X,USDHashprice,BTCHashprice,CoinPrice,StandardizedCloseUSDBTC,StandardizedCloseHashBTC,StandardizedClosePriceBTC,Close,StandardizedCloseMSTR,MarketCap,StandardizedMarketCap,BTCHoldings,StandardizedBitcoinHoldings
1,2/25/20,1,155.85,0.01642576,9488.14545,0.203329083,3.271629457,-1.276804943,14.01,-0.685521754,1160658450,-0.529213758,0,-1.459878349
2,2/26/20,2,148.97,0.01649076,9033.543633,0.134816955,3.289748981,-1.296465031,14.01,-0.685521754,1160658450,-0.529213758,0,-1.459878349
3,2/27/20,3,145.1,0.01649476,8796.733023,0.096278883,3.290864028,-1.306706339,13.62,-0.690204154,1128348900,-0.531141049,0,-1.459878349
4,2/28/20,4,143.2,0.01646221,8698.710562,0.077358383,3.281790328,-1.3109455,13.52,-0.691404769,1120064400,-0.531635226,0,-1.459878349
5,3/2/20,7,143.2,0.01637162,8746.843623,0.077358383,3.256537287,-1.308863897,13.67,-0.689603846,1132491150,-0.53089396,0,-1.459878349
6,3/3/20,8,144.64,0.01645273,8791.246194,0.09169813,3.279147665,-1.306943627,13.44,-0.692365261,1113436800,-0.532030567,0,-1.459878349
7,3/4/20,9,144,0.01643406,8762.290024,0.085324909,3.273943181,-1.30819589,13.62,-0.690204154,1128348900,-0.531141049,0,-1.459878349
8,3/5/20,10,148.07,0.01641464,9020.605996,0.125854613,3.268529625,-1.297024542,13.69,-0.689363723,1134148050,-0.530795125,0,-1.459878349
9,3/6/20,11,149.69,0.01645284,9098.125308,0.141986829,3.279178329,-1.293672078,13.63,-0.690084092,1129177350,-0.531091631,0,-1.459878349
10,3/9/20,14,124.83,0.01583312,7884.106228,-0.105572982,3.106424003,-1.346174556,12.94,-0.698368338,1072014300,-0.534501453,0,-1.459878349
11,3/10/20,15,122.63,0.0154295,7947.762403,-0.12748093,2.993910124,-1.343421628,13,-0.697647968,1076985000,-0.534204947,0,-1.459878349
12,3/11/20,16,121.31,0.01545439,7849.549545,-0.140625699,3.000848508,-1.347669023,12.42,-0.704611537,1028934900,-0.537071174,0,-1.459878349
13,3/12/20,17,103.72,0.01555724,6666.992346,-0.315789701,3.029519169,-1.398810874,10.85,-0.723461197,898868250,-0.544829754,0,-1.459878349
14,3/13/20,18,84.12,0.01585147,5306.763348,-0.5109696,3.111539284,-1.457636468,11.13,-0.720099474,922064850,-0.543446058,0,-1.459878349
15,3/16/20,21,78.23,0.01568635,4987.138499,-0.569623152,3.065510119,-1.47145923,10.67,-0.725622305,883956150,-0.545719273,0,-1.459878349
16,3/17/20,22,84.22,0.01584821,5314.164817,-0.509973785,3.11063052,-1.457316378,10.94,-0.722380643,906324300,-0.544384995,0,-1.459878349
17,3/18/20,23,83.55,0.01580347,5286.813592,-0.516645751,3.098158713,-1.458499232,9.22,-0.743031226,763830900,-0.55288484,0,-1.459878349
18,3/19/20,24,91.68,0.01591603,5760.230409,-0.435685925,3.129536152,-1.438025455,10.54,-0.727183104,873186300,-0.546361703,0,-1.459878349
19,3/20/20,25,102.04,0.01604103,6361.18753,-0.332519406,3.16438139,-1.412035963,10.07,-0.732825996,834249150,-0.548684335,0,-1.459878349
20,3/23/20,28,95.25,0.01559569,6107.456611,-0.4001353,3.040237564,-1.423009022,10.25,-0.730664889,849161250,-0.547794816,0,-1.459878349
21,3/24/20,29,104.36,0.01568625,6652.960395,-0.30941648,3.065482242,-1.399417712,10.69,-0.725382182,885613050,-0.545620437,0,-1.459878349
22,3/25/20,30,104.06,0.01562,6661.971831,-0.312403927,3.047014266,-1.399027996,10.41,-0.728743904,862416450,-0.547004133,0,-1.459878349
23,3/26/20,31,122.23,0.01832001,6671.93959,-0.131464194,3.799674191,-1.398596922,11.05,-0.721059967,915437250,-0.5438414,0,-1.459878349
24,3/27/20,32,123.75,0.01848843,6693.375262,-0.116327793,3.84662327,-1.397669897,10.63,-0.726102551,880642350,-0.545916944,0,-1.459878349
25,3/30/20,35,114.73,0.0182898,6272.895275,-0.20615038,3.791252794,-1.415854324,11.02,-0.721420151,912951900,-0.543989653,0,-1.459878349
26,3/31/20,36,118.31,0.01833601,6452.330687,-0.170500174,3.804134381,-1.408094311,11.81,-0.71193529,978399450,-0.540085654,0,-1.459878349
27,4/1/20,37,115.69,0.01834001,6308.066353,-0.196590548,3.805249429,-1.414333286,11.34,-0.717578182,939462300,-0.542408286,0,-1.459878349
28,4/2/20,38,123.19,0.01831746,6725.277413,-0.121904362,3.798963348,-1.39629023,11.45,-0.716257505,948575250,-0.541864691,0,-1.459878349
29,4/3/20,39,124.9,0.01832686,6815.133634,-0.104875911,3.80158371,-1.392404233,11.22,-0.719018921,929520900,-0.543001299,0,-1.459878349
30,4/6/20,42,129.22,0.01822515,7090.202275,-0.061856668,3.773230837,-1.380508386,11.6,-0.714456582,961002000,-0.541123426,0,-1.459878349
31,4/7/20,43,133.93,0.01830044,7318.403273,-0.014953743,3.79421882,-1.370639416,11.77,-0.712415536,975085650,-0.540283325,0,-1.459878349
32,4/8/20,44,129.02,0.01766602,7303.286196,-0.0638483,3.617366694,-1.371293182,12.3,-0.706052275,1018993500,-0.537664186,0,-1.459878349
33,4/9/20,45,126.42,0.01730513,7305.348183,-0.089739511,3.516764311,-1.371204007,12.54,-0.703170799,1038876300,-0.536478161,0,-1.459878349
34,4/13/20,49,116.25,0.0172181,6751.616032,-0.191013979,3.492503663,-1.395151168,12.21,-0.707132829,1011537450,-0.538108946,0,-1.459878349
35,4/14/20,50,118.59,0.01722646,6884.177016,-0.167711889,3.494834112,-1.389418326,12.65,-0.701850122,1047989250,-0.535934566,0,-1.459878349
36,4/15/20,51,117.7,0.01730427,6801.789385,-0.17657465,3.516524576,-1.392981329,12.26,-0.706532522,1015679700,-0.537861857,0,-1.459878349
37,4/16/20,52,119.75,0.01732416,6912.312054,-0.156160426,3.52206915,-1.388201574,12.41,-0.704731599,1028106450,-0.537120591,0,-1.459878349
38,4/17/20,53,122.71,0.01734653,7074.037286,-0.126684278,3.528305054,-1.381207471,12.65,-0.701850122,1047989250,-0.535934566,0,-1.459878349
39,4/20/20,56,121.62,0.01724004,7054.507994,-0.13753867,3.498619699,-1.38205205,12.69,-0.701369876,1051303050,-0.535736895,0,-1.459878349
40,4/21/20,57,112.3,0.01635123,6867.984855,-0.230348704,3.250853332,-1.390118585,12.27,-0.70641246,1016508150,-0.537812439,0,-1.459878349
41,4/22/20,58,111.61,0.01594297,7000.577684,-0.237219833,3.137045998,-1.384384365,12.5,-0.703651045,1035562500,-0.536675832,0,-1.459878349
42,4/23/20,59,117.2,0.01606605,7294.8858,-0.181553729,3.171356013,-1.371656472,12.6,-0.70245043,1043847000,-0.536181655,0,-1.459878349
43,4/24/20,60,121.16,0.01610974,7520.915918,-0.142119423,3.18353512,-1.361881386,12.56,-0.702930676,1040533200,-0.536379326,0,-1.459878349
44,4/27/20,63,123.17,0.01596496,7715.020896,-0.122103525,3.143175972,-1.353486961,12.92,-0.698608461,1070357400,-0.534600288,0,-1.459878349
45,4/28/20,64,123.68,0.01599978,7730.106289,-0.117024864,3.152882462,-1.352834565,12.89,-0.698968645,1067872050,-0.534748541,0,-1.459878349
46,4/29/20,65,132.19,0.01603142,8245.682541,-0.032280939,3.161702488,-1.330537526,12.75,-0.700649507,1056273750,-0.535440389,0,-1.459878349
47,4/30/20,66,146.33,0.01645448,8893.018801,0.108527418,3.279635499,-1.302542284,12.63,-0.702090245,1046332350,-0.536033402,0,-1.459878349
48,5/1/20,67,147.75,0.01682139,8783.459631,0.122668002,3.381916028,-1.307280371,12.26,-0.706532522,1015679700,-0.537861857,0,-1.459878349
49,5/4/20,70,142.4,0.01623251,8772.518853,0.069391856,3.217758719,-1.307753525,11.86,-0.711334983,982541700,-0.539838565,0,-1.459878349
50,5/5/20,71,144.77,0.01621092,8930.400002,0.092992691,3.21174025,-1.300925666,12.08,-0.708693629,1000767600,-0.538751376,0,-1.459878349
51,5/6/20,72,147.98,0.01615194,9161.747753,0.124958379,3.195298873,-1.290920609,12.2,-0.707252891,1010709000,-0.538158363,0,-1.459878349
52,5/7/20,73,154.36,0.01626388,9490.970174,0.188491427,3.22650348,-1.276682782,12.35,-0.705451968,1023135750,-0.537417098,0,-1.459878349
53,5/8/20,74,163.25,0.01644749,9925.526631,0.277019453,3.277686953,-1.257889593,12.47,-0.704011229,1033077150,-0.536824085,0,-1.459878349
54,5/11/20,77,127.2,0.01459356,8716.173435,-0.081972148,2.760881899,-1.310190286,12.38,-0.705091783,1025621100,-0.537268844,0,-1.459878349
55,5/12/20,78,76.36,0.00870235,8774.641333,-0.588244908,1.118636991,-1.307661735,12.01,-0.70953406,994968450,-0.5390973,0,-1.459878349
56,5/13/20,79,80.03,0.00884684,9046.167897,-0.551698467,1.158915299,-1.295919071,11.5,-0.715657198,952717500,-0.541617603,0,-1.459878349
57,5/14/20,80,87.09,0.00909259,9578.129004,-0.481393871,1.227421036,-1.272913439,11.32,-0.717818305,937805400,-0.542507122,0,-1.459878349
58,5/15/20,81,89.77,0.00942593,9523.728693,-0.454706007,1.320343529,-1.27526608,11.56,-0.714936829,957688200,-0.541321097,0,-1.459878349
59,5/18/20,84,88.65,0.00912042,9719.947108,-0.465859144,1.23517898,-1.266780255,12.01,-0.70953406,994968450,-0.5390973,0,-1.459878349
60,5/19/20,85,93,0.00961628,9671.099427,-0.422541156,1.373405857,-1.268892763,11.91,-0.710734675,986683950,-0.539591477,0,-1.459878349
61,5/20/20,86,100.59,0.01040153,9670.692677,-0.346958736,1.592303641,-1.268910353,12.12,-0.708213383,1004081400,-0.538553705,0,-1.459878349
62,5/21/20,87,96.72,0.01042223,9280.16365,-0.385496808,1.598074012,-1.285799496,12.07,-0.708813691,999939150,-0.538800793,0,-1.459878349
63,5/22/20,88,94.4,0.01034494,9125.234172,-0.408599735,1.576528505,-1.292499705,12.24,-0.706772645,1014022800,-0.537960692,0,-1.459878349
64,5/26/20,92,82.04,0.00925943,8860.156619,-0.531682569,1.273929672,-1.303963469,12.47,-0.704011229,1033077150,-0.536824085,0,-1.459878349
65,5/27/20,93,82.24,0.00911121,9026.243496,-0.529690938,1.232611583,-1.296780738,12.59,-0.702570491,1043018550,-0.536231073,0,-1.459878349
66,5/28/20,94,84.58,0.00907522,9319.884256,-0.506388848,1.222578942,-1.284081706,12.53,-0.70329086,1038047850,-0.536527579,0,-1.459878349
