"","date","series_id","value","realtime_start","realtime_end"
"1",2010-10-02,"ICNSA",373681,2025-02-27,2025-02-27
"2",2010-10-09,"ICNSA",462667,2025-02-27,2025-02-27
"3",2010-10-16,"ICNSA",394016,2025-02-27,2025-02-27
"4",2010-10-23,"ICNSA",408489,2025-02-27,2025-02-27
"5",2010-10-30,"ICNSA",421097,2025-02-27,2025-02-27
"6",2010-11-06,"ICNSA",452657,2025-02-27,2025-02-27
"7",2010-11-13,"ICNSA",409548,2025-02-27,2025-02-27
"8",2010-11-20,"ICNSA",464817,2025-02-27,2025-02-27
"9",2010-11-27,"ICNSA",412922,2025-02-27,2025-02-27
"10",2010-12-04,"ICNSA",585711,2025-02-27,2025-02-27
"11",2010-12-11,"ICNSA",491776,2025-02-27,2025-02-27
"12",2010-12-18,"ICNSA",495548,2025-02-27,2025-02-27
"13",2010-12-25,"ICNSA",525710,2025-02-27,2025-02-27
"14",2011-01-01,"ICNSA",578904,2025-02-27,2025-02-27
"15",2011-01-08,"ICNSA",773499,2025-02-27,2025-02-27
"16",2011-01-15,"ICNSA",549688,2025-02-27,2025-02-27
"17",2011-01-22,"ICNSA",485950,2025-02-27,2025-02-27
"18",2011-01-29,"ICNSA",464775,2025-02-27,2025-02-27
"19",2011-02-05,"ICNSA",440706,2025-02-27,2025-02-27
"20",2011-02-12,"ICNSA",424400,2025-02-27,2025-02-27
"21",2011-02-19,"ICNSA",380985,2025-02-27,2025-02-27
"22",2011-02-26,"ICNSA",353797,2025-02-27,2025-02-27
"23",2011-03-05,"ICNSA",407299,2025-02-27,2025-02-27
"24",2011-03-12,"ICNSA",371721,2025-02-27,2025-02-27
"25",2011-03-19,"ICNSA",354457,2025-02-27,2025-02-27
"26",2011-03-26,"ICNSA",357457,2025-02-27,2025-02-27
"27",2011-04-02,"ICNSA",353817,2025-02-27,2025-02-27
"28",2011-04-09,"ICNSA",448029,2025-02-27,2025-02-27
"29",2011-04-16,"ICNSA",381834,2025-02-27,2025-02-27
"30",2011-04-23,"ICNSA",387867,2025-02-27,2025-02-27
"31",2011-04-30,"ICNSA",415974,2025-02-27,2025-02-27
"32",2011-05-07,"ICNSA",397737,2025-02-27,2025-02-27
"33",2011-05-14,"ICNSA",361573,2025-02-27,2025-02-27
"34",2011-05-21,"ICNSA",376632,2025-02-27,2025-02-27
"35",2011-05-28,"ICNSA",381497,2025-02-27,2025-02-27
"36",2011-06-04,"ICNSA",366816,2025-02-27,2025-02-27
"37",2011-06-11,"ICNSA",400608,2025-02-27,2025-02-27
"38",2011-06-18,"ICNSA",394286,2025-02-27,2025-02-27
"39",2011-06-25,"ICNSA",406633,2025-02-27,2025-02-27
"40",2011-07-02,"ICNSA",425640,2025-02-27,2025-02-27
"41",2011-07-09,"ICNSA",473963,2025-02-27,2025-02-27
"42",2011-07-16,"ICNSA",470086,2025-02-27,2025-02-27
"43",2011-07-23,"ICNSA",369207,2025-02-27,2025-02-27
"44",2011-07-30,"ICNSA",341103,2025-02-27,2025-02-27
"45",2011-08-06,"ICNSA",354408,2025-02-27,2025-02-27
"46",2011-08-13,"ICNSA",346014,2025-02-27,2025-02-27
"47",2011-08-20,"ICNSA",344870,2025-02-27,2025-02-27
"48",2011-08-27,"ICNSA",336761,2025-02-27,2025-02-27
"49",2011-09-03,"ICNSA",348582,2025-02-27,2025-02-27
"50",2011-09-10,"ICNSA",328868,2025-02-27,2025-02-27
"51",2011-09-17,"ICNSA",353820,2025-02-27,2025-02-27
"52",2011-09-24,"ICNSA",328073,2025-02-27,2025-02-27
"53",2011-10-01,"ICNSA",332394,2025-02-27,2025-02-27
"54",2011-10-08,"ICNSA",405906,2025-02-27,2025-02-27
"55",2011-10-15,"ICNSA",357562,2025-02-27,2025-02-27
"56",2011-10-22,"ICNSA",377156,2025-02-27,2025-02-27
"57",2011-10-29,"ICNSA",369647,2025-02-27,2025-02-27
"58",2011-11-05,"ICNSA",402532,2025-02-27,2025-02-27
"59",2011-11-12,"ICNSA",363016,2025-02-27,2025-02-27
"60",2011-11-19,"ICNSA",440157,2025-02-27,2025-02-27
"61",2011-11-26,"ICNSA",372640,2025-02-27,2025-02-27
