"","Company","mkt_cap","pe","employees","recommend"
"1","A","41.05B","31.77","18300",1
"2","AAL","10.65B","150.82","129700",0
"3","AAP","7.88B","16","40000",0
"4","AAPL","2336.71B","25.97","164000",1
"5","ABBV","261.85B","22.57","50000",1
"6","ABC","30.47B","18.44","39000",1
"7","ABT","169.74B","25.32","115000",1
"8","ACN","171.05B","23.94","721000",1
"9","ADBE","153.47B","34.26","29239",1
"10","ADI","93.54B","28.17","24450",1
"11","ADM","43.53B","10.38","42000",1
"12","ADP","91.07B","29.49","60000",0
"13","ADSK","42.78B","54.06","12600",1
"14","AEE","21.43B","20.09","9244",1
"15","AEP","45.32B","19.84","16974",1
"16","AES","16.23B","-","9100",1
"17","AFL","39.96B","10.08","12882",0
"18","AIG","42.16B","4.49","26200",1
"19","AIZ","6.43B","24.2","13700",1
"20","AJG","39.66B","36.36","44000",1
"21","AKAM","11.30B","22.76","9800",0
"22","ALB","28.65B","11.1","7400",1
"23","ALGN","23.83B","72.25","23165",1
"24","ALK","6.22B","112.61","22922",1
"25","ALL","31.77B","-","54000",1
"26","ALLE","9.85B","22.03","12300",0
"27","AMAT","99.84B","15.9","33000",1
"28","AMCR","16.24B","15.38","37000",0
"29","AMD","135.74B","96.46","25000",1
"30","AME","32.03B","28.1","19600",1
"31","AMGN","121.94B","18.85","25200",0
"32","AMP","35.06B","15.01","13500",1
"33","AMT","88.92B","50.98","6391",1
"34","AMZN","934.33B","-","1541000",1
"35","ANET","44.14B","34.71","3612",1
"36","ANSS","26.11B","50.55","5600",1
"37","AON","61.24B","24.82","50000",0
"38","AOS","10.04B","45.22","12000",0
"39","APA","11.71B","3.55","2273",1
"40","APD","63.81B","28.62","19710",1
"41","APH","46.68B","25.88","91000",1
"42","APTV","31.05B","59.73","160000",1
"43","ARE","24.87B","45.5","593",1
"44","ATO","15.91B","19.89","4791",1
"45","ATVI","61.02B","41.44","13000",1
"46","AVB","23.88B","21.43","2947",0
"47","AVGO","249.39B","21.26","20000",1
"48","AVY","14.26B","19.34","36000",1
"49","AWK","24.95B","30.69","6500",0
"50","AXP","127.38B","17.78","77300",1
"51","AZO","45.21B","20.53","69440",1
"52","BA","121.05B","-","156000",1
"53","BAC","255.49B","10.22","217000",1
"54","BALL","17.13B","24.89","21000",0
"55","BAX","19.74B","-","60000",0
"56","BBWI","8.99B","11.48","8800",1
"57","BBY","17.42B","12.12","105000",0
